Team,Name,Position,Age
West Ham,Carlos Sánchez,MF,DF,33
West Ham,Javier Hernández,FW,31
West Ham,Albian Ajeti,MF,FW,22
West Ham,Nathan Holland,MF,21
West Ham,Joseph Anang,GK,19
West Ham,Gonçalo Cardoso,DF,18
West Ham,Conor Coventry,MF,19
West Ham,Bernardo Costa Da Rosa,MF,18
West Ham,Alfie Lewis,MF,19
West Ham,Winston Reid,DF,31
West Ham,Xande Silva,FW,22
Aston Villa,Jack Grealish,FW,MF,23
Aston Villa,Tyrone Mings,DF,26
Aston Villa,Douglas Luiz,MF,21
Aston Villa,John McGinn,MF,24
Aston Villa,Matt Targett,DF,23
Aston Villa,Anwar El Ghazi,FW,MF,24
Aston Villa,Ezri Konsa,DF,21
Aston Villa,Frederic Guilbert,DF,24
Aston Villa,Wesley Moraes,FW,22
Aston Villa,Trézéguet,FW,MF,24
Aston Villa,Tom Heaton,GK,33
Aston Villa,Marvelous Nakamba,MF,25
Aston Villa,Conor Hourihane,MF,28
Aston Villa,Kortney Hause,DF,24
Aston Villa,Björn Engels,DF,24
Aston Villa,Pepe Reina,GK,36
Aston Villa,Neil Taylor,DF,30
Aston Villa,Ahmed Elmohamady,DF,31
Aston Villa,Mbwana Samatta,FW,26
Aston Villa,Ørjan Nyland,GK,28
Aston Villa,Keinan Davis,FW,21
Aston Villa,Jota,FW,MF,28
Aston Villa,Danny Drinkwater,MF,29
Aston Villa,Henri Lansbury,MF,28
Aston Villa,Jed Steer,GK,26
Aston Villa,Jonathan Kodjia,FW,MF,29
Aston Villa,Indiana Vassilev,FW,MF,18
Aston Villa,Borja Bastón,MF,FW,26
Aston Villa,James Chester,DF,30
Aston Villa,Kaine Hayden,MF,
Aston Villa,Lovre Kalinić,GK,29
Bournemouth,Aaron Ramsdale,GK,21
Bournemouth,Callum Wilson,FW,27
Bournemouth,Jefferson Lerma,MF,24
Bournemouth,Philip Billing,MF,23
Bournemouth,Nathan Aké,DF,24
Bournemouth,Steve Cook,DF,28
Bournemouth,Diego Rico,DF,26
Bournemouth,Adam Smith,DF,28
Bournemouth,Joshua King,FW,MF,27
Bournemouth,Ryan Fraser,MF,FW,25
Bournemouth,Harry Wilson,MF,FW,22
Bournemouth,Dominic Solanke,FW,MF,21
Bournemouth,Jack Stacey,DF,23
Bournemouth,Lewis Cook,MF,22
Bournemouth,Dan Gosling,MF,29
Bournemouth,Simon Francis,DF,34
Bournemouth,Chris Mepham,DF,21
Bournemouth,David Brooks,MF,22
Bournemouth,Junior Stanislas,MF,DF,29
Bournemouth,Lloyd Kelly,DF,20
Bournemouth,Arnaut Groeneveld,MF,22
Bournemouth,Andrew Surman,MF,32
Bournemouth,Charlie Daniels,DF,32
Bournemouth,Jack Simpson,DF,22
Bournemouth,Mark Travers,GK,20
Bournemouth,Jordon Ibe,DF,23
Bournemouth,Sam Surridge,FW,21
Bournemouth,Artur Boruc,GK,39
