Date,Home,Away,Goal Scorer,Minute Scored,Team
2019-11-30,"Liverpool","Brighton","Virgil van Dijk",24,"Liverpool"
2019-12-04,"Chelsea","Aston Villa","Tammy Abraham",24,"Chelsea"
2019-12-26,"Manchester Utd","Newcastle Utd","Anthony Martial",24,"Manchester Utd"
2020-01-22,"Leicester City","West Ham","Harvey Barnes",24,"Leicester City"
2020-07-06,"Tottenham","Everton","Michael Keane (OG)",24,"Tottenham"
2020-07-26,"Arsenal","Watford","Kieran Tierney",24,"Arsenal"
2019-11-30,"Newcastle Utd","Manchester City","Jetro Willems",25,"Newcastle Utd"
2020-01-01,"West Ham","Bournemouth","Sébastien Haller",25,"West Ham"
2020-03-07,"Liverpool","Bournemouth","Mohamed Salah",25,"Liverpool"
2020-07-02,"Manchester City","Liverpool","Kevin De Bruyne (P)",25,"Manchester City"
2020-02-22,"Sheffield Utd","Brighton","Enda Stevens",26,"Sheffield Utd"
2019-12-08,"Norwich City","Sheffield Utd","Alexander Tettey",27,"Norwich City"
2020-01-11,"Chelsea","Burnley","Jorginho (P)",27,"Chelsea"
2020-01-11,"Manchester Utd","Norwich City","Marcus Rashford",27,"Manchester Utd"
2020-02-23,"Arsenal","Everton","Eddie Nketiah",27,"Arsenal"
2020-06-19,"Tottenham","Manchester Utd","Steven Bergwijn",27,"Tottenham"
2020-07-21,"Aston Villa","Arsenal","Trézéguet",27,"Aston Villa"
2019-08-09,"Liverpool","Norwich City","Virgil van Dijk",28,"Liverpool"
2019-09-14,"Liverpool","Newcastle Utd","Sadio Mané",28,"Liverpool"
2019-09-14,"Norwich City","Manchester City","Todd Cantwell",28,"Norwich City"
2020-01-21,"Chelsea","Arsenal","Jorginho (P)",28,"Chelsea"
2020-03-07,"Crystal Palace","Watford","Jordan Ayew",28,"Crystal Palace"
2020-03-07,"Southampton","Newcastle Utd","Moussa Djenepo",28,"Southampton"
2020-07-04,"Chelsea","Watford","Olivier Giroud",28,"Chelsea"
2019-11-23,"Manchester City","Chelsea","Kevin De Bruyne",29,"Manchester City"
2020-07-04,"Manchester Utd","Bournemouth","Mason Greenwood",29,"Manchester Utd"
2020-07-16,"Leicester City","Sheffield Utd","Ayoze Pérez",29,"Leicester City"
2019-10-05,"Brighton","Tottenham","Neal Maupay",3,"Brighton"
2019-12-28,"Brighton","Bournemouth","Alireza Jahanbakhsh",3,"Brighton"
2020-03-01,"Everton","Manchester Utd","Dominic Calvert-Lewin",3,"Everton"
2019-08-24,"Brighton","Southampton","Florin Andone",30,"Brighton"
2019-10-21,"Sheffield Utd","Arsenal","Lys Mousset",30,"Sheffield Utd"
2019-12-21,"Manchester City","Leicester City","Riyad Mahrez",30,"Manchester City"
2020-01-01,"Watford","Wolves","Gerard Deulofeu",30,"Watford"
2020-01-21,"Everton","Newcastle Utd","Moise Kean",30,"Everton"
2020-02-01,"West Ham","Brighton","Issa Diop",30,"West Ham"
2020-02-19,"Manchester City","West Ham","Rodri",30,"Manchester City"
2020-02-23,"Wolves","Norwich City","Diogo Jota",30,"Wolves"
2020-03-08,"Manchester Utd","Manchester City","Anthony Martial",30,"Manchester Utd"
2019-09-28,"Tottenham","Southampton","Serge Aurier",31,"Tottenham"
2019-12-04,"Liverpool","Everton","Divock Origi",31,"Liverpool"
2020-07-02,"Sheffield Utd","Tottenham","Sander Berge",31,"Sheffield Utd"
2019-08-17,"Norwich City","Newcastle Utd","Teemu Pukki",32,"Norwich City"
2019-10-05,"Brighton","Tottenham","Aaron Connolly",32,"Brighton"
2019-11-25,"Aston Villa","Newcastle Utd","Conor Hourihane",32,"Aston Villa"
2019-12-07,"Tottenham","Burnley","Son Heung-min",32,"Tottenham"
2020-07-15,"Arsenal","Liverpool","Alexandre Lacazette",32,"Arsenal"
2019-09-28,"Aston Villa","Burnley","Anwar El Ghazi",33,"Aston Villa"
2019-09-28,"Everton","Manchester City","Dominic Calvert-Lewin",33,"Everton"
2020-01-18,"Norwich City","Bournemouth","Teemu Pukki (P)",33,"Norwich City"
2020-02-23,"Arsenal","Everton","Pierre-Emerick Aubameyang",33,"Arsenal"
2020-03-07,"Liverpool","Bournemouth","Sadio Mané",33,"Liverpool"
2020-07-01,"Arsenal","Norwich City","Pierre-Emerick Aubameyang",33,"Arsenal"
